star_name,NamePlanet,RAdeg,DECdeg,MassPlanet_EU,mass_error_min_EU,mass_error_max_EU,RadiusPlanet_EU,radius_error_min_EU,radius_error_max_EU,orbital_period_EU,orbital_period_error_min_EU,orbital_period_error_max_EU,semi_major_axis_EU,semi_major_axis_error_min_EU,semi_major_axis_error_max_EU,eccentricity_EU,eccentricity_error_min_EU,eccentricity_error_max_EU,inclination_EU,inclination_error_min_EU,inclination_error_max_EU,Xray_Luminosity_preferred,Xray_Luminosity_pref_err,Source_of_pref_Xray_values,star_Distance_EU,star_eDistance_min_EU,star_eDistance_max_EU,star_Metallicity_EU,star_eMetallicity_min_EU,star_eMetallicity_max_EU,star_mass_EU,star_eMass_min_EU,star_eMass_max_EU,star_Radius_EU,star_eRadius_min_EU,star_eRadius_max_EU,star_SpType_EU,star_Age_EU,star_eAge_min_EU,star_eAge_max_EU,star_Teff_EU,star_eTeff_min_EU,star_eTeff_max_EU,Preferred_NUV,Pref_NUV_err,Preferred_FUV,Pref_FUV_err
HD  97658,HD 97658 b,168.6381721,25.7103861,0.02375,0.00249,0.00261,0.20047,0.00848,0.00874,9.4903,0.0015,0.0016,0.08,0.018,0.0017,0.078,0.053,0.057,89.14,0.36,0.52,1.0400000000000001e+27,6.4299999999999995e+25,XMM,21.1,0.33,0.33,-0.23,0.03,0.03,0.85,0.02,0.02,0.73,0.02,0.02,K1V,,,,5170.0,44.0,44.0,3.37e-11,3.01e-13,3.91e-14,1.83e-14
GJ 1132,GJ 1132 b,153.7162271,-47.1568464,0.00522,0.00072,0.00072,0.1035,0.0098,0.0098,1.628931,2.7e-05,2.7e-05,0.0154,0.0015,0.0015,,,,,,,9.959999999999999e+25,2.9499999999999995e+25,XMM,12.04,0.24,0.24,-0.12,0.15,0.15,0.181,0.019,0.019,0.207,0.016,0.016,M3.5,5.0,,10.0,3270.0,140.0,140.0,8.01e-14,1.82e-14,,
GJ 1132,GJ 1132 c,153.7162271,-47.1568464,0.00831,0.00138,0.00138,,,,8.929,0.01,0.01,0.0476,0.0017,0.0017,0.27,0.27,,,,,9.959999999999999e+25,2.9499999999999995e+25,XMM,12.04,0.24,0.24,-0.12,0.15,0.15,0.181,0.019,0.019,0.207,0.016,0.016,M3.5,5.0,,10.0,3270.0,140.0,140.0,8.01e-14,1.82e-14,,
55 Cnc,55 Cnc e,133.1492122,28.33081975,0.02703,0.00135,0.00135,0.1737,0.00339,0.00339,0.7365478,1.2e-06,1.6e-06,0.015439,1.5e-05,1.5e-05,0.028,0.019,0.022,90.36,4.66,3.96,6.05e+26,5.229999999999999e+25,XMM,12.34,0.4,0.4,0.31,0.04,0.04,1.015,0.051,0.051,0.98,0.016,0.016,K0IV-V,10.2,2.5,2.5,5196.0,24.0,24.0,9.56e-11,1.19e-13,2.04e-13,9.4e-15
GJ  3470,GJ 3470 b,119.7743427,15.3914487,0.03958,0.00403,0.00412,0.3738074294,0.0526363683,0.0526363683,3.336649,8.1e-05,8.4e-05,0.03557,0.001,0.001,0.114,0.052,0.052,88.3,0.5,0.5,4.4300000000000004e+27,7.88e+26,XMM,30.7,1.7,2.1,0.2,0.1,0.1,0.51,0.06,0.06,0.48,0.04,0.04,M1.5,1.6,1.3,1.3,3652.0,50.0,50.0,8.67e-14,6.1e-15,1.45e-14,3.1e-15
Kepler-138,Kepler-138 b,290.381546,43.292972,0.00021,0.00012,0.00019,0.052,0.006,0.006,10.31320643,2.65e-05,2.65e-05,0.0746,,,,,,89.95,,,2.7300000000000005e+27,8.97e+26,XMM,,,,,,,0.57,0.05,0.05,0.53,0.04,0.04,M1 V,,,,4079.0,238.0,238.0,2.68e-14,6.2e-15,,
Kepler-138,Kepler-138 c,290.381546,43.292972,0.00318,0.0011,0.0013,0.144,0.013,0.014,13.78164,0.00014,0.00019,,,,0.05,0.025,0.049,,,,2.7300000000000005e+27,8.97e+26,XMM,,,,,,,0.57,0.05,0.05,0.53,0.04,0.04,M1 V,,,,4079.0,238.0,238.0,2.68e-14,6.2e-15,,
Kepler-138,Kepler-138 d,290.381546,43.292972,0.00318,0.00107,0.00132,0.1436,0.0134,0.0143,23.08933,0.00071,0.00071,,,,0.024,0.016,0.03,,,,2.7300000000000005e+27,8.97e+26,XMM,,,,,,,0.57,0.05,0.05,0.53,0.04,0.04,M1 V,,,,4079.0,238.0,238.0,2.68e-14,6.2e-15,,
Kepler-18,Kepler-18 b,298.0794534,44.74633542,0.0216153289,0.0109492496,0.0109492496,0.1784283673,0.0080292765,0.0080292765,3.504725,2.8e-05,2.8e-05,0.0447,0.0006,0.0006,,,,84.92,0.26,0.26,1.46e+31,5.569999999999999e+30,Einstein,,,,0.2,0.04,0.04,0.972,0.042,0.042,1.108,0.051,0.051,,10.0,2.3,2.3,5383.0,44.0,44.0,,,,
Kepler-18,Kepler-18 c,298.0794534,44.74633542,0.0541169808,0.0059780386,0.0059780386,0.4888937263,0.0223035459,0.0223035459,7.64159,3e-05,3e-05,0.0752,0.0011,0.0011,,,,87.68,0.22,0.22,1.46e+31,5.569999999999999e+30,Einstein,,,,0.2,0.04,0.04,0.972,0.042,0.042,1.108,0.051,0.051,,10.0,2.3,2.3,5383.0,44.0,44.0,,,,
Kepler-18,Kepler-18 d,298.0794534,44.74633542,0.0512852783,0.0043734072,0.0043734072,0.6218228599,0.0285485388,0.0285485388,14.85888,4e-05,4e-05,0.1172,0.0017,0.0017,,,,88.07,0.1,0.1,1.46e+31,5.569999999999999e+30,Einstein,,,,0.2,0.04,0.04,0.972,0.042,0.042,1.108,0.051,0.051,,10.0,2.3,2.3,5383.0,44.0,44.0,,,,
HD 219134,HD 219134 b,348.3207347,57.1683562,0.01491,0.0006,0.0006,0.14292,0.00491,0.00491,3.0931,0.0001,0.0001,0.038474,8e-07,8e-07,,,0.13,85.058,0.08,0.08,9.700000000000001e+26,1.57e+26,XMM,6.55,,,0.11,0.04,0.04,0.794,,,0.778,0.005,0.005,K3V,,,,4699.0,16.0,16.0,2.52e-16,3.79e-17,,
HD 219134,HD 219134 g,348.3207347,57.1683562,0.034,0.004,0.004,,,,94.2,0.2,0.2,0.3753,0.0004,0.0004,,,,,,,9.700000000000001e+26,1.57e+26,XMM,6.55,,,0.11,0.04,0.04,0.794,,,0.778,0.005,0.005,K3V,,,,4699.0,16.0,16.0,2.52e-16,3.79e-17,,
2MASS J23062928-0502285,TRAPPIST-1 b,346.62233,-5.04144,0.0027,0.0023,0.0023,0.09689,0.00031,0.00031,1.51087081,6e-05,6e-05,0.01111,0.00034,0.00034,,,0.081,89.65,0.27,0.27,1.89e+26,4.8499999999999996e+25,XMM,12.1,0.4,0.4,0.04,0.08,0.08,0.08,0.007,0.007,0.117,0.004,0.004,M8,7.6,2.2,2.2,2560.0,55.0,55.0,,,,
2MASS J23062928-0502285,TRAPPIST-1 c,346.62233,-5.04144,0.00434,0.0019,0.0019,0.09421,0.00031,0.00031,2.4218233,1.7e-06,1.7e-06,0.01521,0.00047,0.00047,,,0.083,89.67,0.17,0.17,1.89e+26,4.8499999999999996e+25,XMM,12.1,0.4,0.4,0.04,0.08,0.08,0.08,0.007,0.007,0.117,0.004,0.004,M8,7.6,2.2,2.2,2560.0,55.0,55.0,,,,
2MASS J23062928-0502285,TRAPPIST-1 d,346.62233,-5.04144,0.0013,0.00085,0.00085,0.0689,0.0027,0.0027,4.04961,6.3e-05,6.3e-05,0.02144,0.00063,0.00066,,,0.7,89.75,0.16,0.16,1.89e+26,4.8499999999999996e+25,XMM,12.1,0.4,0.4,0.04,0.08,0.08,0.08,0.007,0.007,0.117,0.004,0.004,M8,7.6,2.2,2.2,2560.0,55.0,55.0,,,,
2MASS J23062928-0502285,TRAPPIST-1 e,346.62233,-5.04144,0.002,0.0018,0.0018,0.0819,0.0035,0.0035,6.099615,1.1e-05,1.1e-05,0.02817,0.00087,0.00083,,0.085,0.085,89.86,0.12,0.1,1.89e+26,4.8499999999999996e+25,XMM,12.1,0.4,0.4,0.04,0.08,0.08,0.08,0.007,0.007,0.117,0.004,0.004,M8,7.6,2.2,2.2,2560.0,55.0,55.0,,,,
2MASS J23062928-0502285,TRAPPIST-1 f,346.62233,-5.04144,0.0021,0.00057,0.00057,0.09323,0.0034,0.0034,9.20669,1.5e-05,1.5e-05,0.0371,0.0011,0.0011,,,0.063,89.68,0.034,0.034,1.89e+26,4.8499999999999996e+25,XMM,12.1,0.4,0.4,0.04,0.08,0.08,0.08,0.007,0.007,0.117,0.004,0.004,M8,7.6,2.2,2.2,2560.0,55.0,55.0,,,,
2MASS J23062928-0502285,TRAPPIST-1 g,346.62233,-5.04144,0.00422,0.0028,0.0028,0.1005,0.0037,0.0037,12.35294,0.00012,0.00012,0.0451,0.0014,0.0014,,,0.061,89.71,0.025,0.025,1.89e+26,4.8499999999999996e+25,XMM,12.1,0.4,0.4,0.04,0.08,0.08,0.08,0.007,0.007,0.117,0.004,0.004,M8,7.6,2.2,2.2,2560.0,55.0,55.0,,,,
